index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
43944,45335320,1,0,1,2,3,4,0,0,0,1,1,1,1,1,13
43945,45333777,1,0,1,2,3,4,0,0,0,1,1,1,1,1,6
43946,45333382,1,0,1,2,3,4,1,0,0,0,1,1,1,1,12
43947,45328263,1,0,1,2,3,4,0,0,0,1,1,1,0,1,2
43948,45327736,1,0,1,2,3,4,1,1,0,1,1,0,0,1,19
43949,45327696,0,0,1,2,3,4,1,1,0,1,1,0,0,1,27
43950,45326635,1,0,1,2,3,4,1,1,0,1,1,1,0,1,5
43951,45326606,1,0,1,2,3,4,1,1,0,1,1,1,0,1,10
43952,45321906,1,0,0,2,3,4,1,1,0,1,0,1,0,1,28
43953,45310649,1,0,1,2,3,4,1,1,0,1,1,1,1,1,6
43954,45308610,0,0,0,2,3,4,1,1,0,1,0,0,0,1,18
43955,45308236,0,0,1,2,3,4,1,1,0,1,1,1,1,1,3
43956,45308192,1,0,0,2,3,4,1,0,0,1,0,1,1,1,21
43957,45300339,1,0,1,2,3,4,1,1,0,1,1,1,1,1,23
43958,45296609,1,0,1,2,3,4,1,1,0,1,1,1,1,1,32
43959,45295916,0,0,1,2,3,4,1,0,1,1,1,1,1,1,1
43960,45295885,1,0,1,2,3,4,1,1,0,1,1,1,1,1,24
43961,45287617,0,0,1,2,3,4,1,1,0,1,1,1,1,1,27
43962,45287143,0,0,1,2,3,4,1,1,0,1,1,1,1,1,31
43963,45286945,1,0,1,2,3,4,1,0,0,1,1,1,1,1,1
43964,45284125,1,0,1,2,3,4,0,1,0,0,1,1,0,1,20
43965,45283799,1,0,1,2,3,4,1,0,0,0,1,1,1,1,16
43966,45278501,0,0,1,2,3,4,1,1,0,1,1,1,1,1,28
43967,45277633,0,0,1,2,3,4,1,1,0,1,1,0,0,1,21
43968,45276780,1,0,1,2,3,4,1,0,0,1,1,1,1,1,31
43969,45276345,0,0,1,2,3,4,1,0,0,1,1,1,1,1,22
43970,45274174,0,0,1,2,3,4,1,0,0,1,1,1,1,1,29
43971,45274172,0,0,1,2,3,4,1,0,0,1,1,1,1,1,5
43972,45267446,1,0,1,2,3,4,1,1,0,1,1,1,1,1,33
43973,45263815,1,0,1,2,3,4,1,0,0,1,1,1,1,1,10
43974,45261620,1,0,1,2,3,4,1,0,0,1,1,1,1,1,21
43975,45257423,1,0,1,2,3,4,0,1,0,1,1,1,1,1,8
43976,45250478,1,0,1,2,3,4,1,0,0,1,1,1,1,1,8
43977,45249846,1,0,1,2,3,4,1,0,0,1,1,1,1,1,3
43978,45249781,1,0,1,2,3,4,1,0,0,1,1,1,1,1,26
43979,45241062,1,0,1,2,3,4,1,0,0,0,1,1,1,1,25
43980,45240747,1,0,1,2,3,4,0,0,0,0,1,1,1,1,12
43981,45240746,1,0,1,2,3,4,0,0,0,0,1,1,1,1,22
43982,45240745,1,0,1,2,3,4,1,0,0,0,1,1,1,1,22
43983,45239770,1,0,1,2,3,4,1,1,0,1,1,1,1,1,5
43984,45237531,1,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43985,45231297,1,0,0,2,3,4,1,1,0,0,0,1,1,1,7
43986,45230922,1,0,1,2,3,4,0,0,0,0,1,1,1,1,27
43987,45229350,1,0,1,2,3,4,1,0,0,1,1,1,1,1,12
43988,45226880,1,0,1,2,3,4,1,0,0,0,1,1,1,1,6
43989,45222394,1,0,1,2,3,4,1,0,0,0,1,1,1,1,7
43990,45221508,1,0,1,2,3,4,0,0,0,1,1,1,1,1,22
43991,45221132,1,0,1,2,3,4,1,0,0,1,1,0,0,1,13
43992,45219101,1,0,1,2,3,4,1,1,0,1,1,0,1,1,4
43993,45217128,1,0,1,2,3,4,1,1,0,1,1,1,1,1,27
43994,45217199,1,0,1,2,3,4,1,0,0,0,1,1,1,1,14
